financial_year,state,area_of_expenditure,broad_source_of_funding,detailed_source_of_funding,real_expenditure_millions
2003-04,TAS,Other health practitioners,Government,Australian Government,22
2003-04,TAS,Patient transport services,Government,Australian Government,3
2003-04,TAS,Patient transport services,Government,State and local,25
2003-04,TAS,Private hospitals,Government,Australian Government,74
2003-04,TAS,Private hospitals,Government,State and local,24
2003-04,TAS,Public health,Government,Australian Government,28
2003-04,TAS,Public health,Government,State and local,23
2003-04,TAS,Public hospitals,Government,Australian Government,262
2003-04,TAS,Public hospitals,Government,State and local,208
2003-04,TAS,Research,Government,Australian Government,33
2003-04,TAS,Research,Government,State and local,7
2003-04,ACT,Administration,Government,Australian Government,64
2003-04,ACT,Administration,Government,State and local,50
2003-04,ACT,Aids and appliances,Government,Australian Government,4
2003-04,ACT,All other medications,Government,Australian Government,3
2003-04,ACT,Benefit-paid pharmaceuticals,Government,Australian Government,73
2003-04,ACT,Capital expenditure,Government,Australian Government,3
2003-04,ACT,Capital expenditure,Government,State and local,21
2003-04,ACT,Community health,Government,Australian Government,5
2003-04,ACT,Community health,Government,State and local,129
2003-04,ACT,Dental services,Government,Australian Government,9
2003-04,ACT,Dental services,Government,State and local,9
2003-04,ACT,Medical expense tax rebate,Government,Australian Government,11
2003-04,ACT,Medical services,Government,Australian Government,216
2003-04,ACT,Other health practitioners,Government,Australian Government,20
2003-04,ACT,Patient transport services,Government,Australian Government,4
2003-04,ACT,Patient transport services,Government,State and local,0
2003-04,ACT,Private hospitals,Government,Australian Government,32
2003-04,ACT,Private hospitals,Government,State and local,0
2003-04,ACT,Public health,Government,Australian Government,19
2003-04,ACT,Public health,Government,State and local,23
2003-04,ACT,Public hospitals,Government,Australian Government,159
2003-04,ACT,Public hospitals,Government,State and local,272
2003-04,ACT,Research,Government,Australian Government,133
2003-04,ACT,Research,Government,State and local,16
2003-04,NT,Administration,Government,Australian Government,22
2003-04,NT,Administration,Government,State and local,32
2003-04,NT,Aids and appliances,Government,Australian Government,2
2003-04,NT,All other medications,Government,Australian Government,4
2003-04,NT,Benefit-paid pharmaceuticals,Government,Australian Government,30
2003-04,NT,Capital expenditure,Government,Australian Government,6
2003-04,NT,Capital expenditure,Government,State and local,13
2003-04,NT,Community health,Government,Australian Government,73
2003-04,NT,Community health,Government,State and local,132
2003-04,NT,Dental services,Government,Australian Government,2
2003-04,NT,Dental services,Government,State and local,10
2003-04,NT,Medical expense tax rebate,Government,Australian Government,1
2003-04,NT,Medical services,Government,Australian Government,69
2003-04,NT,Other health practitioners,Government,Australian Government,6
2003-04,NT,Patient transport services,Government,Australian Government,5
2003-04,NT,Patient transport services,Government,State and local,35
2003-04,NT,Private hospitals,Government,Australian Government,8
2003-04,NT,Private hospitals,Government,State and local,0
2003-04,NT,Public health,Government,Australian Government,18
2003-04,NT,Public health,Government,State and local,48
2003-04,NT,Public hospitals,Government,Australian Government,128
2003-04,NT,Public hospitals,Government,State and local,269
2003-04,NT,Research,Government,Australian Government,11
2003-04,NT,Research,Government,State and local,2
2004-05,NSW,Administration,Government,Australian Government,525
2004-05,NSW,Administration,Government,State and local,0
2004-05,NSW,Aids and appliances,Government,Australian Government,120
2004-05,NSW,All other medications,Government,Australian Government,54
2004-05,NSW,Benefit-paid pharmaceuticals,Government,Australian Government,2077
2004-05,NSW,Capital expenditure,Government,Australian Government,31
2004-05,NSW,Capital expenditure,Government,State and local,488
2004-05,NSW,Community health,Government,Australian Government,122
2004-05,NSW,Community health,Government,State and local,1158
2004-05,NSW,Dental services,Government,Australian Government,177
2004-05,NSW,Dental services,Government,State and local,175
2004-05,NSW,Medical expense tax rebate,Government,Australian Government,159
2004-05,NSW,Medical services,Government,Australian Government,4886
2004-05,NSW,Other health practitioners,Government,Australian Government,270
2004-05,NSW,Patient transport services,Government,Australian Government,68
2004-05,NSW,Patient transport services,Government,State and local,338
2004-05,NSW,Private hospitals,Government,Australian Government,780
2004-05,NSW,Private hospitals,Government,State and local,0
2004-05,NSW,Public health,Government,Australian Government,361
2004-05,NSW,Public health,Government,State and local,118
2004-05,NSW,Public hospitals,Government,Australian Government,4162
2004-05,NSW,Public hospitals,Government,State and local,5982
2004-05,NSW,Research,Government,Australian Government,484
2004-05,NSW,Research,Government,State and local,80
2004-05,VIC,Administration,Government,Australian Government,369
2004-05,VIC,Administration,Government,State and local,0
2004-05,VIC,Aids and appliances,Government,Australian Government,79
2004-05,VIC,All other medications,Government,Australian Government,36
2004-05,VIC,Benefit-paid pharmaceuticals,Government,Australian Government,1511
2004-05,VIC,Capital expenditure,Government,Australian Government,28
2004-05,VIC,Capital expenditure,Government,State and local,381
2004-05,VIC,Community health,Government,Australian Government,74
2004-05,VIC,Community health,Government,State and local,711
2004-05,VIC,Dental services,Government,Australian Government,87
2004-05,VIC,Dental services,Government,State and local,127
2004-05,VIC,Medical expense tax rebate,Government,Australian Government,92
2004-05,VIC,Medical services,Government,Australian Government,3402
2004-05,VIC,Other health practitioners,Government,Australian Government,180
2004-05,VIC,Patient transport services,Government,Australian Government,35
2004-05,VIC,Patient transport services,Government,State and local,230
2004-05,VIC,Private hospitals,Government,Australian Government,666
2004-05,VIC,Private hospitals,Government,State and local,0
2004-05,VIC,Public health,Government,Australian Government,244
2004-05,VIC,Public health,Government,State and local,174
2004-05,VIC,Public hospitals,Government,Australian Government,2892
2004-05,VIC,Public hospitals,Government,State and local,3334
2004-05,VIC,Research,Government,Australian Government,535
2004-05,VIC,Research,Government,State and local,119
2004-05,QLD,Administration,Government,Australian Government,312
2004-05,QLD,Administration,Government,State and local,59
2004-05,QLD,Aids and appliances,Government,Australian Government,64
2004-05,QLD,All other medications,Government,Australian Government,33
2004-05,QLD,Benefit-paid pharmaceuticals,Government,Australian Government,1150
2004-05,QLD,Capital expenditure,Government,Australian Government,20
2004-05,QLD,Capital expenditure,Government,State and local,399
2004-05,QLD,Community health,Government,Australian Government,101
2004-05,QLD,Community health,Government,State and local,766
2004-05,QLD,Dental services,Government,Australian Government,97
2004-05,QLD,Dental services,Government,State and local,156
2004-05,QLD,Medical expense tax rebate,Government,Australian Government,63
2004-05,QLD,Medical services,Government,Australian Government,2692
2004-05,QLD,Other health practitioners,Government,Australian Government,161
2004-05,QLD,Patient transport services,Government,Australian Government,47
2004-05,QLD,Patient transport services,Government,State and local,395
2004-05,QLD,Private hospitals,Government,Australian Government,736
2004-05,QLD,Private hospitals,Government,State and local,35
2004-05,QLD,Public health,Government,Australian Government,200
2004-05,QLD,Public health,Government,State and local,113
2004-05,QLD,Public hospitals,Government,Australian Government,2246
2004-05,QLD,Public hospitals,Government,State and local,2189
2004-05,QLD,Research,Government,Australian Government,241
2004-05,QLD,Research,Government,State and local,34
2004-05,WA,Administration,Government,Australian Government,158
2004-05,WA,Administration,Government,State and local,163
2004-05,WA,Aids and appliances,Government,Australian Government,35
2004-05,WA,All other medications,Government,Australian Government,15
2004-05,WA,Benefit-paid pharmaceuticals,Government,Australian Government,517
2004-05,WA,Capital expenditure,Government,Australian Government,15
2004-05,WA,Capital expenditure,Government,State and local,196
2004-05,WA,Community health,Government,Australian Government,92
2004-05,WA,Community health,Government,State and local,574
2004-05,WA,Dental services,Government,Australian Government,55
2004-05,WA,Dental services,Government,State and local,61
2004-05,WA,Medical expense tax rebate,Government,Australian Government,28
2004-05,WA,Medical services,Government,Australian Government,1274
2004-05,WA,Other health practitioners,Government,Australian Government,75
2004-05,WA,Patient transport services,Government,Australian Government,23
